Array Size,Insertion Sort ,Quick Sort ,Shell Sort ,Shell (Hibbard) ,Shell (Knuth) ,Shell (Gonnet) ,Shell (Sedgewick) ,Heap Sort ,Merge Sort ,N log N
1000,246580,11885,7912,6628,8500,7642,7912,19192,8710,9965.78
2000,989784,27621,19278,16766,21120,15532,19278,42364,19469,21931.57
3000,2245936,44699,30880,30044,36270,23454,30880,67104,30910,34652.24
4000,3899510,64480,48048,41720,50808,33424,48048,92644,42841,47863.14
5000,6244050,83628,62684,53162,67576,44200,62684,119028,55178,61438.56
6000,8958527,98106,75235,64595,80447,74503,75235,146418,67876,75304.48
7000,12278928,117238,89770,82984,102522,65234,89770,173520,80650,89411.97
8000,16111576,135166,129680,98980,134198,76984,129680,201172,93646,103726.27
9000,20111576,157194,123730,108316,145658,87304,123730,229608,106922,118221.38
10000,24787659,183333,143793,139085,160001,105205,143793,258454,120414,132877.12
